squadra,punti_prec,gf_prec,gs_prec,xg_prec,xga_prec,promossa,coppa_europea,rating_att,rating_dif
Inter,87,89,35,73.74,34.3,0,CL,10,9
Napoli,76,58,36,55.74,40.42,0,CL,8,8
Roma,73,59,31,56.32,37.69,0,CL,8,9
Como,71,65,29,60.75,34.61,0,CL,9,9
Milan,70,53,35,60.47,47.21,0,EL,8,8
Juventus,69,61,34,69.45,38.06,0,EL,9,9
Atalanta,59,51,36,64.81,44.67,0,CONF,8,8
Bologna,56,49,46,50.18,42.78,0,,7,8
Lazio,54,41,40,44.54,51.81,0,,7,7
Udinese,50,45,48,43.6,55.62,0,,6,6
Sassuolo,49,46,50,43.88,54.89,0,,7,6
Torino,45,44,63,46.42,56.44,0,,6,5
Parma,45,28,46,33.89,59.18,0,,5,5
Cagliari,43,40,53,38.71,53.39,0,,6,5
Fiorentina,42,41,50,51.57,54.48,0,,7,6
Genoa,41,41,51,46.36,56.1,0,,6,6
Lecce,38,28,50,33.83,58.08,0,,5,5
Venezia,82,77,31,,,1,,6,6
Frosinone,81,76,34,,,1,,6,6
Monza,76,61,32,,,1,,6,6
