squadra,nome,id_fantacalcio,status,note
Atalanta,Carnesecchi,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Bellanova,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Zappacosta. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Kristensen,6485,TITOLARE,"SOS Fanta guida difensori 2026/27: atteso titolare accanto a Scalvini dopo l'investimento. Fonte utente."
Atalanta,Scalvini,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Bernasconi,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Samardzic,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Pasalic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Gaetano,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Ederson,5792,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,De Ketelaere,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Scamacca,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Krstovic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Raspadori,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Elmas. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Zappacosta,,BALLOTTAGGIO,"Alternativa in ballottaggio con Bellanova. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Hien,,BALLOTTAGGIO,"Alternativa in ballottaggio con Kristensen. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Pasalic,,BALLOTTAGGIO,"Alternativa in ballottaggio con Samardzic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Krstovic,,BALLOTTAGGIO,"Alternativa in ballottaggio con Scamacca. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Atalanta,Elmas,,BALLOTTAGGIO,"Alternativa in ballottaggio con Raspadori. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Skorupski,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Zortea,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Vitik,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Casale. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Heggem,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Miranda,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Moro,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Ferguson,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Orsolini,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Bernardeschi,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Amondarain / Odgaard. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Rowe,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Cambiaghi. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Dovbyk,6675,TITOLARE,"SOS Fanta guida attaccanti 2026/27: davanti a Piccoli nella gerarchia iniziale. Fonte utente."
Bologna,Casale,,BALLOTTAGGIO,"Alternativa in ballottaggio con Vitik. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Amondarain,,BALLOTTAGGIO,"Alternativa in ballottaggio con Bernardeschi. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Cambiaghi,,BALLOTTAGGIO,"Alternativa in ballottaggio con Rowe. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Bologna,Odgaard,,BALLOTTAGGIO,"Alternativa in ballottaggio con Bernardeschi. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
